operator,publication,site,proxy,depth,age,run,TEX86,BAY.LOW,BAY.MED,BAY.HIGH,subBAY.LOW,subBAY.MED,subBAY.HIGH,1302,1300,1298,1296,1292,1292',1050-tot,1036-tot,1022,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,5.89,0.67,LC22020000018,0.47,5.45,13.17,20.00,3.23,9.85,17.13,9.50E+07,1.35E+07,8.00E+06,1.11E+06,1.21E+08,2.74E+06,971308.00,489424.00,868469.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,6.23,0.68,LC22060000015,0.47,5.54,13.24,20.10,3.37,9.90,17.32,1.18E+08,1.78E+07,1.05E+07,1.42E+06,1.47E+08,3.71E+06,2294768.70,648386.50,1361909.10,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,6.48,0.68,LC22020000020,0.38,-2.28,6.70,13.87,-3.66,3.38,10.12,5.28E+07,5.99E+06,2.31E+06,3.96E+05,6.49E+07,9.85E+05,393895.00,174680.80,312602.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,6.74,0.70,LC22060000149,0.40,-1.07,7.73,14.73,-2.50,4.37,11.11,6.84E+07,7.63E+06,3.26E+06,5.36E+05,7.23E+07,1.18E+06,620227.00,329251.00,526125.20,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,6.99,0.72,LC22020000022,0.41,-0.01,8.52,15.48,-1.65,5.22,12.06,1.93E+07,2.36E+06,1.06E+06,1.57E+05,2.28E+07,3.95E+05,255625.00,73637.90,152880.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,7.54,0.77,LC22060000008,0.44,2.84,10.93,17.77,0.96,7.64,14.65,1.28E+08,1.66E+07,8.48E+06,1.52E+06,1.42E+08,2.96E+06,1911541.40,704355.90,1234708.50,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,7.79,0.80,LC22020000030,0.43,1.74,9.99,16.88,-0.05,6.66,13.58,3.10E+07,3.76E+06,1.85E+06,3.03E+05,3.53E+07,6.27E+05,396968.00,165179.50,278468.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,8.19,0.85,LC22060000046,0.49,7.03,14.47,21.48,4.62,11.21,18.84,8.39E+06,1.28E+06,8.21E+05,9.79E+04,9.95E+06,2.86E+05,311416.80,51201.30,83382.90,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,8.47,0.89,LC22020000033,0.42,1.55,9.80,16.65,-0.34,6.50,13.39,2.84E+07,3.37E+06,1.65E+06,2.36E+05,3.19E+07,5.86E+05,427827.00,175924.80,273344.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,8.69,0.92,LC22060000147,0.43,2.05,10.26,17.10,0.19,6.97,13.94,1.91E+07,2.12E+06,1.11E+06,1.60E+05,1.99E+07,3.19E+05,484857.90,140617.70,262653.60,,,,,,
