operator,publication,site,depth,proxy,age,uk37,BAY.LOW,BAY.MED,BAY.HIGH
FL,"Hou et al., 2022 CP",1168,14.710,uk37,1.785439533,0.496664196,10.38716055,13.08384457,15.80253087
FL,"Hou et al., 2022 CP",1168,15.040,uk37,1.830638897,0.546795758,11.82949175,14.56167245,17.29932937
FL,"Hou et al., 2022 CP",1168,15.310,uk37,1.868210876,0.510116639,10.77636242,13.48644619,16.22973724
FL,"Hou et al., 2022 CP",1168,15.560,uk37,1.903286093,0.395334747,7.356463404,10.0797511,12.8095709
FL,"Hou et al., 2022 CP",1168,15.820,uk37,1.939880747,0.511614402,10.81048466,13.53328531,16.27035842
FL,"Hou et al., 2022 CP",1168,16.210,uk37,1.994176872,0.489234184,10.15163438,12.84900735,15.58739174
FL,"Hou et al., 2022 CP",1168,16.490,uk37,2.03209161,0.52756146,11.26628721,14.01641367,16.80162134
FL,"Hou et al., 2022 CP",1168,16.880,uk37,2.083400229,0.508066011,10.72487437,13.42532628,16.1648969
FL,"Hou et al., 2022 CP",1168,17.040,uk37,2.103949157,0.457366385,9.201500778,11.9124367,14.59619262
FL,"Hou et al., 2022 CP",1168,17.430,uk37,2.152829827,0.537804878,11.58642736,14.31902699,17.02807481
FL,"Hou et al., 2022 CP",1168,17.690,uk37,2.18447471,0.509214355,10.7215671,13.44767543,16.17194747
FL,"Hou et al., 2022 CP",1168,18.080,uk37,2.230546035,0.485008486,10.01176747,12.73344745,15.46490336
FL,"Hou et al., 2022 CP",1168,18.425,uk37,2.269921628,0.438321628,8.651989739,11.35428725,14.08781759
FL,"Hou et al., 2022 CP",1168,18.800,uk37,2.31127172,0.460636681,9.318946384,12.02495673,14.7452424
FL,"Hou et al., 2022 CP",1168,19.060,uk37,2.339065442,0.383205142,7.052594037,9.730910851,12.45246364
FL,"Hou et al., 2022 CP",1168,19.450,uk37,2.379428582,0.550411379,11.93827223,14.69117274,17.4181772
FL,"Hou et al., 2022 CP",1168,19.710,uk37,2.405462499,0.518331226,10.99031456,13.7175944,16.47384612
FL,"Hou et al., 2022 CP",1168,20.140,uk37,2.447003784,0.607777244,13.68599149,16.39671031,19.15756589
FL,"Hou et al., 2022 CP",1168,20.430,uk37,2.473967431,0.489923225,10.18715809,12.91635699,15.64083808
FL,"Hou et al., 2022 CP",1168,20.690,uk37,2.497430088,0.484854116,10.00237025,12.74877723,15.47875779
FL,"Hou et al., 2022 CP",1168,20.950,uk37,2.520227121,0.608798283,13.6896883,16.4420648,19.17006109
FL,"Hou et al., 2022 CP",1168,21.210,uk37,2.542365469,0.543913713,11.82017586,14.49655713,17.22488974
FL,"Hou et al., 2022 CP",1168,21.540,uk37,2.569526465,0.549987896,11.93529459,14.6638758,17.37155116
FL,"Hou et al., 2022 CP",1168,21.800,uk37,2.590195843,0.5675131,12.46074126,15.19085998,17.97690984
FL,"Hou et al., 2022 CP",1168,21.950,uk37,2.601830734,0.554287102,12.081485,14.80381749,17.53177731
FL,"Hou et al., 2022 CP",1168,22.190,uk37,2.620009577,0.495359161,10.34211652,13.05999024,15.78642987
FL,"Hou et al., 2022 CP",1168,22.450,uk37,2.639101965,0.33780037,5.69680766,8.39672401,11.10379475
FL,"Hou et al., 2022 CP",1168,22.710,uk37,2.6575757,0.474818653,9.745366903,12.42599651,15.16062426
FL,"Hou et al., 2022 CP",1168,23.040,uk37,2.680143108,0.572488408,12.59655546,15.33522176,18.05726354
FL,"Hou et al., 2022 CP",1168,23.330,uk37,2.699172805,0.606139438,13.60151447,16.36204484,19.10516202
FL,"Hou et al., 2022 CP",1168,23.560,uk37,2.713738357,0.579449747,12.81728249,15.55354835,18.27242759
FL,"Hou et al., 2022 CP",1168,23.830,uk37,2.730249247,0.54739726,11.86688667,14.60816787,17.32964716
FL,"Hou et al., 2022 CP",1168,24.230,uk37,2.753555354,0.585066399,12.98384856,15.70268779,18.43353402
FL,"Hou et al., 2022 CP",1168,24.540,uk37,2.770282696,0.454040404,9.114766833,11.81313312,14.54703898
FL,"Hou et al., 2022 CP",1168,24.780,uk37,2.782287911,0.56814488,12.46400366,15.19063664,17.94990974
FL,"Hou et al., 2022 CP",1168,25.060,uk37,2.795819782,0.606287039,13.63142279,16.35451619,19.05815524
FL,"Hou et al., 2022 CP",1168,25.450,uk37,2.812163016,0.505874223,10.67929883,13.36834882,16.08760611
FL,"Hou et al., 2022 CP",1168,25.710,uk37,2.822588859,0.549295775,11.93438213,14.66974401,17.39814173
FL,"Hou et al., 2022 CP",1168,25.990,uk37,2.833265065,0.582585577,12.93300685,15.6570526,18.35291209
FL,"Hou et al., 2022 CP",1168,26.130,uk37,2.838427639,0.542791982,11.76003306,14.46246225,17.19013498
FL,"Hou et al., 2022 CP",1168,26.385,uk37,2.847596516,0.580967613,12.85039663,15.59432632,18.35890229
FL,"Hou et al., 2022 CP",1168,26.340,uk37,2.845997243,0.551779935,12.00059897,14.73212473,17.46710285
FL,"Hou et al., 2022 CP",1168,26.560,uk37,2.853755609,0.552176506,12.04221713,14.73759578,17.47882364
FL,"Hou et al., 2022 CP",1168,26.810,uk37,2.862436592,0.600829876,13.45582409,16.19587198,18.92064612
FL,"Hou et al., 2022 CP",1168,26.955,uk37,2.867439939,0.606413994,13.65438717,16.36279656,19.11189113
FL,"Hou et al., 2022 CP",1168,27.170,uk37,2.874862006,0.647770701,14.83940132,17.599095,20.34131844
FL,"Hou et al., 2022 CP",1168,27.410,uk37,2.883215666,0.549649097,11.94458557,14.66236953,17.41562953
FL,"Hou et al., 2022 CP",1168,27.840,uk37,2.898612169,0.541093474,11.69128364,14.42366144,17.16899003
FL,"Hou et al., 2022 CP",1168,28.060,uk37,2.90682676,0.503668977,10.55805181,13.2882546,16.01495933
FL,"Hou et al., 2022 CP",1168,28.340,uk37,2.917738897,0.451765908,9.080446093,11.74217689,14.45146622
FL,"Hou et al., 2022 CP",1168,28.450,uk37,2.922191427,0.551820728,11.9877639,14.72785454,17.47370765
FL,"Hou et al., 2022 CP",1168,28.560,uk37,2.926749184,0.581533879,12.89370733,15.61790827,18.34625063
FL,"Hou et al., 2022 CP",1168,28.990,uk37,2.945722704,0.571540881,12.57064222,15.31990458,18.03080677
FL,"Hou et al., 2022 CP",1168,29.290,uk37,2.96023051,0.540220152,11.64747359,14.3868441,17.13035476
FL,"Hou et al., 2022 CP",1168,29.520,uk37,2.972174449,0.573194056,12.61753697,15.36657614,18.13422506
FL,"Hou et al., 2022 CP",1168,29.800,uk37,2.987510378,0.510403358,10.78788976,13.49764969,16.24503494
FL,"Hou et al., 2022 CP",1168,29.980,uk37,2.997472114,0.482147724,9.950785493,12.65838965,15.38450684
FL,"Hou et al., 2022 CP",1168,30.220,uk37,3.010843305,0.478625695,9.868190757,12.55691667,15.28681301
FL,"Hou et al., 2022 CP",1168,30.510,uk37,3.02713126,0.431503818,8.440575896,11.16121121,13.86976753
FL,"Hou et al., 2022 CP",1168,30.790,uk37,3.042988455,0.625312656,14.18956428,16.92334848,19.64560793
FL,"Hou et al., 2022 CP",1168,31.140,uk37,3.062982569,0.518108069,11.01883507,13.7270343,16.43572288
FL,"Hou et al., 2022 CP",1168,31.280,uk37,3.071031779,0.562583269,12.322138,15.04526239,17.75442141
FL,"Hou et al., 2022 CP",1168,31.540,uk37,3.086055324,0.643812354,14.78117736,17.46602814,20.20060755
FL,"Hou et al., 2022 CP",1168,31.680,uk37,3.094184091,0.527231467,11.26354216,13.98777305,16.71976444
FL,"Hou et al., 2022 CP",1168,31.950,uk37,3.109935419,0.548981301,11.89556827,14.63687328,17.35823991
SH,"Hou et al., 2022 CP",1168,63.475,uk37,4.750455416,0.627659154,14.2605081,16.99119269,19.72234715
SH,"Hou et al., 2022 CP",1168,71.97,uk37,4.945007263,0.59950005,13.39478283,16.15510684,18.89739863
SH,"Hou et al., 2022 CP",1168,82.475,uk37,5.412447537,0.438524251,8.663744225,11.3649597,14.07618064
SH,"Hou et al., 2022 CP",1168,86.94,uk37,5.688198113,0.466856686,9.494282643,12.20735644,14.94079677
SH,"Hou et al., 2022 CP",1168,96.11,uk37,6.481386694,0.566627448,12.4789081,15.17266944,17.91537299
SH,"Hou et al., 2022 CP",1168,107.37,uk37,7.120453408,0.597359835,13.33946951,16.08287421,18.81351834
SH,"Hou et al., 2022 CP",1168,115.09,uk37,7.415431049,0.699501962,16.42964014,19.14280416,21.90112075
SH,"Hou et al., 2022 CP",1168,121.785,uk37,7.774835468,0.737847768,17.52694819,20.29603107,23.04826542
SH,"Hou et al., 2022 CP",1168,132.59,uk37,8.449122907,0.720488778,17.03280524,19.78898931,22.56616948
SH,"Hou et al., 2022 CP",1168,142.83,uk37,9.136756054,0.731180312,17.35453156,20.09941035,22.88161127
SH,"Hou et al., 2022 CP",1168,149.46,uk37,9.511340067,0.763469387,18.31894141,21.06802636,23.89804623
SH,"Hou et al., 2022 CP",1168,162.03,uk37,9.951400256,0.776095101,18.67662517,21.44994508,24.33741301
SH,"Hou et al., 2022 CP",1168,171.64,uk37,10.1651513,0.808921516,19.71102072,22.48125294,25.6300982
SH,"Hou et al., 2022 CP",1168,179.73,uk37,10.34560126,0.761914902,18.24623256,21.01736189,23.86363238
SH,"Hou et al., 2022 CP",1168,190.84,uk37,10.69897797,0.781765495,18.86779632,21.64099745,24.52890922
SH,"Hou et al., 2022 CP",1168,200.39,uk37,11.03864168,0.819454118,20.00543892,22.80620632,26.06171991
SH,"Hou et al., 2022 CP",1168,209.73,uk37,11.40787214,0.77227873,18.56316185,21.34376503,24.24606288
SH,"Hou et al., 2022 CP",1168,221.68,uk37,12.03000899,0.829765114,20.28747867,23.15424391,26.56399888
SH,"Hou et al., 2022 CP",1168,230.82,uk37,12.66680285,0.821434834,20.07322449,22.88837798,26.18651531
SH,"Hou et al., 2022 CP",1168,240.06,uk37,13.61972211,0.804000046,19.51922885,22.31089807,25.42649031
SH,"Hou et al., 2022 CP",1168,245.56,uk37,14.24028554,0.869463857,21.58288951,24.53528329,28.89094915
SH,"Hou et al., 2022 CP",1168,248.82,uk37,14.596081,0.847558795,20.90585216,23.77443132,27.49732783
SH,"Hou et al., 2022 CP",1168,251.76,uk37,14.89648574,0.88356119,22.03519527,25.09993133,29.93499759
SH,"Hou et al., 2022 CP",1168,253.88,uk37,15.0957083,0.897305273,22.47641541,25.66190277,30.9415981
SH,"Hou et al., 2022 CP",1168,255.17,uk37,15.20812495,0.910045807,22.88816449,26.24464894,31.75825011
SH,"Hou et al., 2022 CP",1168,258.255,uk37,15.45210815,0.917733441,23.1674135,26.56723292,32.25316736
SH,"Hou et al., 2022 CP",1168,263.23,uk37,15.78358841,0.934745726,23.7835024,27.36972536,33.30283012
SH,"Hou et al., 2022 CP",1168,267.97,uk37,16.03593913,0.918158387,23.1913286,26.61222691,32.27505997
SH,"Hou et al., 2022 CP",1168,270.91,uk37,16.16506723,0.926239076,23.47414385,26.96152916,32.73671128
SH,"Hou et al., 2022 CP",1168,272.49,uk37,16.22664058,0.874534592,21.72968225,24.73509631,29.38975012
ETH,"Guitián et al., 2021",1168,278.3,uk37,16.42547578,0.856014741,21.15312468,24.06551035,28.05609697
ETH,"Guitián et al., 2021",1168,282.0,uk37,16.58406494,0.916019956,23.11739817,26.50271524,32.12864509
ETH,"Guitián et al., 2021",1168,290.4,uk37,17.06819801,0.868588528,21.59928433,24.53756469,28.88513482
SH,"Hou et al., 2022 CP",1168,296.53,uk37,17.50211156,0.909149988,22.8884355,26.16565764,31.58081834
ETH,"Guitián et al., 2021",1168,296.7,uk37,17.51254108,0.868588528,21.56866631,24.50627141,28.87677849
ETH,"Guitián et al., 2021",1168,302.8,uk37,17.93725684,0.872594542,21.72724587,24.66715167,29.12945953
ETH,"Guitián et al., 2021",1168,305.18,uk37,18.09914747,0.842101713,20.71934478,23.56996223,27.24293809
ETH,"Guitián et al., 2021",1168,306.9,uk37,18.19909869,0.877734492,21.87828289,24.8824707,29.50541015
SH,"Hou et al., 2022 CP",1168,307.35,uk37,18.22464827,0.829715076,20.35562964,23.15111273,26.59011295
ETH,"Guitián et al., 2021",1168,314.5,uk37,18.54842004,0.827119593,20.23599508,23.05924446,26.44218859
SH,"Hou et al., 2022 CP",1168,315.13,uk37,18.57488411,0.778464648,18.77081647,21.54362943,24.46235498
ETH,"Guitián et al., 2021",1168,317.6,uk37,18.68243797,0.841402133,20.70551134,23.54585394,27.16965837
ETH,"Guitián et al., 2021",1168,320.7,uk37,18.82849229,0.882896593,22.05886905,25.09896573,29.88119189
ETH,"Guitián et al., 2021",1168,323.8,uk37,19.00377735,0.862833362,21.37954172,24.30665334,28.50340521
ETH,"Guitián et al., 2021",1168,324,uk37,19.01630958,0.859135286,21.26573372,24.19224365,28.28550799
SH,"Hou et al., 2022 CP",1168,326.18,uk37,19.15081028,0.831888839,20.39414813,23.23372105,26.65239699
